date,group,user_id,converted
01.03.2023,control,106085,1
01.03.2023,control,106086,1
01.03.2023,control,106087,1
01.03.2023,control,106088,1
01.03.2023,control,106089,1
01.03.2023,control,106090,1
01.03.2023,control,106091,1
01.03.2023,control,106092,1
01.03.2023,control,106093,1
01.03.2023,control,106094,1
01.03.2023,control,106095,1
01.03.2023,control,106096,1
01.03.2023,control,106097,0
01.03.2023,control,106098,0
01.03.2023,control,106099,0
01.03.2023,control,106100,0
01.03.2023,control,106101,0
01.03.2023,control,106102,0
01.03.2023,control,106103,0
01.03.2023,control,106104,0
01.03.2023,control,106105,0
01.03.2023,control,106106,0
01.03.2023,control,106107,0
01.03.2023,control,106108,0
01.03.2023,control,106109,0
01.03.2023,control,106110,0
01.03.2023,control,106111,0
01.03.2023,control,106112,0
01.03.2023,control,106113,0
01.03.2023,control,106114,0
01.03.2023,control,106115,0
01.03.2023,control,106116,0
01.03.2023,control,106117,0
01.03.2023,control,106118,0
01.03.2023,control,106119,0
01.03.2023,control,106120,0
01.03.2023,control,106121,0
01.03.2023,control,106122,0
01.03.2023,control,106123,0
01.03.2023,control,106124,0
01.03.2023,control,106125,0
01.03.2023,control,106126,0
01.03.2023,control,106127,0
01.03.2023,control,106128,0
01.03.2023,control,106129,0
01.03.2023,control,106130,0
01.03.2023,control,106131,0
01.03.2023,control,106132,0
01.03.2023,control,106133,0
01.03.2023,control,106134,0
01.03.2023,control,106135,0
01.03.2023,control,106136,0
01.03.2023,control,106137,0
01.03.2023,control,106138,0
01.03.2023,control,106139,0
01.03.2023,control,106140,0
01.03.2023,control,106141,0
01.03.2023,control,106142,0
01.03.2023,control,106143,0
01.03.2023,control,106144,0
01.03.2023,control,106145,0
01.03.2023,control,106146,0
01.03.2023,control,106147,0
01.03.2023,control,106148,0
01.03.2023,control,106149,0
01.03.2023,control,106150,0
01.03.2023,control,106151,0
01.03.2023,control,106152,0
01.03.2023,control,106153,0
01.03.2023,control,106154,0
01.03.2023,control,106155,0
01.03.2023,control,106156,0
01.03.2023,control,106157,0
01.03.2023,control,106158,0
01.03.2023,control,106159,0
01.03.2023,control,106160,0
